date,infected,Recovered,R Number,Susceptible,,
01/02/2020,1,0,,67508935,,
02/02/2020,1,0,,67508935,,
03/02/2020,0,1,,67508935,,
04/02/2020,1,1,,67508934,,
05/02/2020,19,1,,67508916,,
06/02/2020,18,2,,67508916,,
07/02/2020,1,20,,67508915,,
08/02/2020,1,20,,67508915,,
09/02/2020,0,21,,67508915,,
10/02/2020,3,21,,67508912,,
11/02/2020,4,21,,67508911,,
12/02/2020,2,24,,67508910,,
13/02/2020,5,25,,67508906,,
14/02/2020,5,26,,67508905,,
15/02/2020,2,30,,67508904,,
16/02/2020,1,31,,67508904,,
17/02/2020,0,32,,67508904,,
18/02/2020,0,32,,67508904,,
19/02/2020,1,32,,67508903,,
20/02/2020,1,32,,67508903,,
21/02/2020,0,33,,67508903,,
22/02/2020,0,33,,67508903,,
23/02/2020,2,33,,67508901,,
24/02/2020,2,33,,67508901,,
25/02/2020,6,35,,67508895,,
26/02/2020,8,35,,67508893,,
27/02/2020,5,41,,67508890,,
28/02/2020,5,43,,67508888,,
29/02/2020,10,46,,67508880,,
01/03/2020,20,48,,67508868,,
02/03/2020,16,56,,67508864,,
03/03/2020,24,68,2.39,67508844,,
04/03/2020,61,72,2.4,67508803,,
05/03/2020,98,92,2.41,67508746,,
06/03/2020,113,133,2.43,67508690,,
07/03/2020,105,190,2.45,67508641,,
08/03/2020,132,246,2.47,67508558,,
09/03/2020,151,295,2.5,67508490,,
10/03/2020,123,378,2.53,67508435,,
11/03/2020,203,446,2.53,67508287,,
12/03/2020,413,501,2.5,67508022,,
13/03/2020,668,649,2.46,67507619,,
14/03/2020,887,914,2.41,67507135,,
15/03/2020,962,1317,2.37,67506657,,
16/03/2020,830,1801,2.32,67506305,,
17/03/2020,793,2279,2.28,67505864,,
18/03/2020,1043,2631,2.25,67505262,,
19/03/2020,1385,3072,2.22,67504479,,
20/03/2020,1767,3674,2.19,67503495,,
21/03/2020,2024,4457,2.16,67502455,,
22/03/2020,2293,5441,2.12,67501202,,
23/03/2020,2436,6481,2.08,67500019,,
24/03/2020,2544,7734,2.03,67498658,,
25/03/2020,3650,8917,1.98,67496369,,
26/03/2020,4642,10278,1.94,67494016,,
27/03/2020,5019,12567,1.89,67491350,,
28/03/2020,5705,14920,1.84,67488311,,
29/03/2020,6193,17586,1.79,67485157,,
30/03/2020,5928,20625,1.74,67482383,,
31/03/2020,5592,23779,1.69,67479565,,
01/04/2020,7013,26553,1.64,67475370,,
02/04/2020,8658,29371,1.59,67470907,,
03/04/2020,9354,33566,1.55,67466016,,
04/04/2020,9715,38029,1.5,67461192,,
05/04/2020,9677,42920,1.46,67456339,,
06/04/2020,8829,47744,1.41,67452363,,
07/04/2020,7532,52597,1.37,67448807,,
08/04/2020,8829,56573,1.33,67443534,,
09/04/2020,10750,60129,1.3,67438057,,
10/04/2020,10623,65402,1.27,67432911,,
11/04/2020,10021,70879,1.24,67428036,,
12/04/2020,9202,76025,1.21,67423709,,
13/04/2020,7912,80900,1.19,67420124,,
14/04/2020,7092,85227,1.17,67416617,,
15/04/2020,7710,88812,1.15,67412414,,
16/04/2020,8538,92319,1.14,67408079,,
17/04/2020,9405,96522,1.13,67403009,,
18/04/2020,10362,100857,1.11,67397717,,
19/04/2020,10269,105927,1.1,67392740,,
20/04/2020,9721,111219,1.08,67387996,,
21/04/2020,8625,116196,1.07,67384115,,
22/04/2020,8322,120940,1.05,67379674,,
23/04/2020,9237,124821,1.04,67374878,,
24/04/2020,10313,129262,1.03,67369361,,
25/04/2020,10683,134058,1.01,67364195,,
26/04/2020,10127,139575,1,67359234,,
27/04/2020,8718,144741,0.99,67355477,,
28/04/2020,7233,149702,0.98,67352001,,
29/04/2020,8215,153459,0.96,67347262,,
30/04/2020,9458,156935,0.95,67342543,,
01/05/2020,10152,161674,0.94,67337110,,
02/05/2020,10394,166393,0.92,67332149,,
03/05/2020,9727,171826,0.91,67327383,,
04/05/2020,8024,176787,0.9,67324125,,
05/05/2020,6260,181553,0.89,67321123,,
06/05/2020,6400,184811,0.88,67317725,,
07/05/2020,7084,187813,0.87,67314039,,
08/05/2020,7518,191211,0.86,67310207,,
09/05/2020,7619,194897,0.86,67306420,,
10/05/2020,6851,198729,0.85,67303356,,
11/05/2020,5234,202516,0.85,67301186,,
12/05/2020,4507,205580,0.84,67298849,,
13/05/2020,5949,207750,0.83,67295237,,
14/05/2020,7022,210087,0.83,67291827,,
15/05/2020,6740,213699,0.82,67288497,,
16/05/2020,5960,217109,0.82,67285867,,
17/05/2020,5160,220439,0.81,67283337,,
18/05/2020,4612,223069,0.81,67281255,,
19/05/2020,3919,225599,0.81,67279418,,
20/05/2020,4418,227681,0.8,67276837,,
21/05/2020,5644,229518,0.79,67273774,,
22/05/2020,5782,232099,0.78,67271055,,
23/05/2020,5286,235162,0.78,67268488,,
24/05/2020,4624,237881,0.77,67266431,,
25/05/2020,3589,240448,0.77,67264899,,
26/05/2020,2905,242505,0.76,67263526,,
27/05/2020,2998,244037,0.76,67261901,,
28/05/2020,3695,245410,0.76,67259831,,
29/05/2020,3895,247035,0.76,67258006,,
30/05/2020,3582,249105,0.76,67256249,,
31/05/2020,3289,250930,0.76,67254717,,
01/06/2020,2664,252687,0.76,67253585,,
02/06/2020,2212,254219,0.76,67252505,,
03/06/2020,2519,255351,0.76,67251066,,
04/06/2020,2931,256431,0.77,67249574,,
05/06/2020,2861,257870,0.77,67248205,,
06/06/2020,2618,259362,0.77,67246956,,
07/06/2020,2372,260731,0.78,67245833,,
08/06/2020,1927,261980,0.78,67245029,,
09/06/2020,1526,263103,0.79,67244307,,
10/06/2020,1821,263907,0.8,67243208,,
11/06/2020,2264,264629,0.8,67242043,,
12/06/2020,2361,265728,0.8,67240847,,
13/06/2020,2209,266893,0.81,67239834,,
14/06/2020,2066,268089,0.81,67238781,,
