date,infected,Recovered,R Number,,,
01/02/2020,1,0,,,,
02/02/2020,1,0,,,,
03/02/2020,0,1,,,,
04/02/2020,1,1,,,,
05/02/2020,19,1,,,,
06/02/2020,18,2,,,,
07/02/2020,1,20,,,,
08/02/2020,1,20,,,,
09/02/2020,0,21,,,,
10/02/2020,3,21,,,,
11/02/2020,4,21,,,,
12/02/2020,2,24,,,,
13/02/2020,5,25,,,,
14/02/2020,5,26,,,,
15/02/2020,2,30,,,,
16/02/2020,1,31,,,,
17/02/2020,0,32,,,,
18/02/2020,0,32,,,,
19/02/2020,1,32,,,,
20/02/2020,1,32,,,,
21/02/2020,0,33,,,,
22/02/2020,0,33,,,,
23/02/2020,2,33,,,,
24/02/2020,2,33,,,,
25/02/2020,6,35,,,,
26/02/2020,8,35,,,,
27/02/2020,5,41,,,,
28/02/2020,5,43,,,,
29/02/2020,10,46,,,,
01/03/2020,20,48,,,,
02/03/2020,16,56,,,,
03/03/2020,24,68,2.39,,,
04/03/2020,61,72,2.4,,,
05/03/2020,98,92,2.41,,,
06/03/2020,113,133,2.43,,,
07/03/2020,105,190,2.45,,,
08/03/2020,132,246,2.47,,,
09/03/2020,151,295,2.5,,,
10/03/2020,123,378,2.53,,,
11/03/2020,203,446,2.53,,,
12/03/2020,413,501,2.5,,,
13/03/2020,668,649,2.46,,,
14/03/2020,887,914,2.41,,,
15/03/2020,962,1317,2.37,,,
16/03/2020,830,1801,2.32,,,
17/03/2020,793,2279,2.28,,,
18/03/2020,1043,2631,2.25,,,
19/03/2020,1385,3072,2.22,,,
20/03/2020,1767,3674,2.19,,,
21/03/2020,2024,4457,2.16,,,
22/03/2020,2293,5441,2.12,,,
23/03/2020,2436,6481,2.08,,,
24/03/2020,2544,7734,2.03,,,
25/03/2020,3650,8917,1.98,,,
26/03/2020,4642,10278,1.94,,,
27/03/2020,5019,12567,1.89,,,
28/03/2020,5705,14920,1.84,,,
29/03/2020,6193,17586,1.79,,,
30/03/2020,5928,20625,1.74,,,
31/03/2020,5592,23779,1.69,,,
01/04/2020,7013,26553,1.64,,,
02/04/2020,8658,29371,1.59,,,
03/04/2020,9354,33566,1.55,,,
04/04/2020,9715,38029,1.5,,,
05/04/2020,9677,42920,1.46,,,
06/04/2020,8829,47744,1.41,,,
07/04/2020,7532,52597,1.37,,,
08/04/2020,8829,56573,1.33,,,
09/04/2020,10750,60129,1.3,,,
10/04/2020,10623,65402,1.27,,,
11/04/2020,10021,70879,1.24,,,
12/04/2020,9202,76025,1.21,,,
13/04/2020,7912,80900,1.19,,,
14/04/2020,7092,85227,1.17,,,
15/04/2020,7710,88812,1.15,,,
16/04/2020,8538,92319,1.14,,,
17/04/2020,9405,96522,1.13,,,
18/04/2020,10362,100857,1.11,,,
19/04/2020,10269,105927,1.1,,,
20/04/2020,9721,111219,1.08,,,
21/04/2020,8625,116196,1.07,,,
22/04/2020,8322,120940,1.05,,,
23/04/2020,9237,124821,1.04,,,
24/04/2020,10313,129262,1.03,,,
25/04/2020,10683,134058,1.01,,,
26/04/2020,10127,139575,1,,,
27/04/2020,8718,144741,0.99,,,
28/04/2020,7233,149702,0.98,,,
29/04/2020,8215,153459,0.96,,,
30/04/2020,9458,156935,0.95,,,
01/05/2020,10152,161674,0.94,,,
02/05/2020,10394,166393,0.92,,,
03/05/2020,9727,171826,0.91,,,
04/05/2020,8024,176787,0.9,,,
05/05/2020,6260,181553,0.89,,,
06/05/2020,6400,184811,0.88,,,
07/05/2020,7084,187813,0.87,,,
08/05/2020,7518,191211,0.86,,,
09/05/2020,7619,194897,0.86,,,
10/05/2020,6851,198729,0.85,,,
11/05/2020,5234,202516,0.85,,,
12/05/2020,4507,205580,0.84,,,
13/05/2020,5949,207750,0.83,,,
14/05/2020,7022,210087,0.83,,,
15/05/2020,6740,213699,0.82,,,
16/05/2020,5960,217109,0.82,,,
17/05/2020,5160,220439,0.81,,,
18/05/2020,4612,223069,0.81,,,
19/05/2020,3919,225599,0.81,,,
20/05/2020,4418,227681,0.8,,,
21/05/2020,5644,229518,0.79,,,
22/05/2020,5782,232099,0.78,,,
23/05/2020,5286,235162,0.78,,,
24/05/2020,4624,237881,0.77,,,
25/05/2020,3589,240448,0.77,,,
26/05/2020,2905,242505,0.76,,,
27/05/2020,2998,244037,0.76,,,
28/05/2020,3695,245410,0.76,,,
29/05/2020,3895,247035,0.76,,,
30/05/2020,3582,249105,0.76,,,
31/05/2020,3289,250930,0.76,,,
01/06/2020,2664,252687,0.76,,,
02/06/2020,2212,254219,0.76,,,
03/06/2020,2519,255351,0.76,,,
04/06/2020,2931,256431,0.77,,,
05/06/2020,2861,257870,0.77,,,
06/06/2020,2618,259362,0.77,,,
07/06/2020,2372,260731,0.78,,,
08/06/2020,1927,261980,0.78,,,
09/06/2020,1526,263103,0.79,,,
10/06/2020,1821,263907,0.8,,,
11/06/2020,2264,264629,0.8,,,
12/06/2020,2361,265728,0.8,,,
13/06/2020,2209,266893,0.81,,,
14/06/2020,2066,268089,0.81,,,
15/06/2020,1939,269102,0.82,,,
16/06/2020,1712,270155,0.82,,,
17/06/2020,1871,271041,0.82,,,
18/06/2020,2148,271867,0.82,,,
19/06/2020,2120,272912,0.82,,,
20/06/2020,2039,274015,0.81,,,
21/06/2020,2015,275032,0.81,,,
22/06/2020,1676,276054,0.81,,,
23/06/2020,1319,277047,0.81,,,
24/06/2020,1535,277730,0.81,,,
25/06/2020,1782,278366,0.8,,,
26/06/2020,1660,279265,0.8,,,
27/06/2020,1503,280148,0.8,,,
28/06/2020,1392,280925,0.8,,,
29/06/2020,1319,281651,0.8,,,
30/06/2020,1102,282317,0.8,,,
01/07/2020,1173,282970,0.81,,,
02/07/2020,1347,283419,0.83,,,
03/07/2020,1275,284143,0.85,,,
04/07/2020,1258,284766,0.88,,,
05/07/2020,1174,285418,0.91,,,
06/07/2020,967,286024,0.93,,,
07/07/2020,957,286592,0.96,,,
08/07/2020,1272,286991,0.98,,,
09/07/2020,1323,287549,1,,,
10/07/2020,1322,288263,1.02,,,
11/07/2020,1435,288872,1.03,,,
12/07/2020,1290,289585,1.04,,,
13/07/2020,1027,290307,1.05,,,
14/07/2020,825,290875,1.06,,,
15/07/2020,1106,291334,1.06,,,
16/07/2020,1445,291700,1.05,,,
17/07/2020,1482,292440,1.05,,,
18/07/2020,1489,293145,1.05,,,
19/07/2020,1294,293922,1.05,,,
20/07/2020,1087,294634,1.05,,,
21/07/2020,953,295216,1.05,,,
22/07/2020,1278,295721,1.05,,,
23/07/2020,1618,296169,1.06,,,
24/07/2020,1604,296999,1.06,,,
25/07/2020,1624,297787,1.07,,,
26/07/2020,1582,298603,1.07,,,
27/07/2020,1304,299411,1.08,,,
28/07/2020,1093,300185,1.08,,,
29/07/2020,1432,300715,1.09,,,
30/07/2020,1725,301278,1.09,,,
31/07/2020,1918,302147,1.1,,,
01/08/2020,2008,303003,1.1,,,
02/08/2020,1644,304065,1.1,,,
